name;group;kcal;protein;carbs;fat;fiber;portions;liquid;source
Azúcar;SUGAR;387;0;100;0;0;1 cdta:4|1 cda:12;0;USDA
Panela;SUGAR;380;0.4;95;0.1;0;1 cda:12;0;USDA
Miel de abeja;SUGAR;304;0.3;82.4;0;0.2;1 cdta:7|1 cda:21;0;USDA
Mermelada;SUGAR;278;0.4;68.9;0.1;1;1 cda:20;0;USDA
Chocolate con leche;;535;7.7;59.4;29.7;3.4;1 barra pequeña:40;0;USDA
Helado de crema;;207;3.5;23.6;11;0.7;½ taza:66;0;USDA
Galletas rellenas de chocolate;;480;5;68;21;3;3 galletas:34;0;USDA
Torta de chocolate;;371;5;53;16;2;1 porción:95;0;USDA
Cacao en polvo 100%;FREE;228;19.6;57.9;13.7;37;1 cda:5;0;USDA
Gelatina preparada;SUGAR;62;1.2;14.2;0;0;½ taza:135;0;USDA
# ── Bebidas ──
Café negro;FREE;2;0.3;0;0;0;1 taza:240;1;USDA
Té / aromática sin azúcar;FREE;1;0;0.2;0;0;1 taza:240;1;USDA
Café con leche;;40;2;4;1.8;0;1 taza:240;1;Estimación
Gaseosa (cola);SUGAR;42;0;10.6;0;0;1 lata:355|1 botella personal:500;1;USDA
Jugo de fruta envasado;SUGAR;46;0.2;11.5;0.1;0.2;1 vaso:250;1;USDA
Bebida deportiva;SUGAR;24;0;6;0;0;1 botella:500;1;USDA
Cerveza;;43;0.5;3.6;0;0;1 lata:355|1 botella:600;1;USDA
Vino tinto;;85;0.1;2.6;0;0;1 copa:150;1;USDA
Batido de fruta con leche;;75;2.8;12;1.8;0.8;1 vaso:300;1;Estimación
Morocho;;110;3.5;18;2.8;1;1 taza:240;1;Estimación
Colada morada;;70;0.5;17;0.1;1;1 vaso:250;1;Estimación
# ── Condimentos y salsas ──
Mostaza;FREE;60;3.7;5.8;3.3;4;1 cdta:5;0;USDA
Salsa de tomate (ketchup);;101;1;27.4;0.1;0.3;1 cda:17;0;USDA
Salsa de soya;FREE;53;8.1;4.9;0.6;0.8;1 cda:16;1;USDA
Ají casero;FREE;30;1;6;0.3;1.5;1 cda:15;0;Estimación
Vinagre;FREE;18;0;0.04;0;0;1 cda:15;1;USDA
# ── Platos típicos (por 100 g del plato) ──
Encebollado;;85;7;9;2.3;1;1 plato:450;0;Estimación
Seco de pollo (presa y salsa);;160;17;4;8;0.5;1 porción:250;0;Estimación
Arroz con menestra y carne asada;;170;9;22;5;3;1 plato:450;0;Estimación
Llapingacho;;190;4;22;9.5;2;1 unidad:80;0;Estimación
Tigrillo;;210;7;20;11.5;1.5;1 plato:300;0;Estimación
Ceviche de camarón;;75;9;6;1.5;1;1 plato:300;0;Estimación
Caldo de gallina;;45;4;3;2;0.3;1 plato:450;1;Estimación
Locro de papa;;80;2.5;10;3.2;1;1 plato:400;0;Estimación
Fanesca;;150;6;17;6.5;4;1 plato:450;0;Estimación
Guatita;;140;9;7;8.5;1.5;1 plato:350;0;Estimación
Hamburguesa con pan;;254;13;24;12;1.5;1 hamburguesa:220;0;USDA
Pizza de queso;;266;11.4;33.3;9.7;2.3;1 porción:107;0;USDA
Pollo frito (broaster);;260;25;9;13.5;0.4;1 presa:150;0;USDA
Salchipapa;;290;7;30;16;2.5;1 porción:300;0;Estimación
Sánduche de jamón y queso;;260;13;28;10.5;1.5;1 sánduche:150;0;Estimación
